adm_id,harvest_year,yield,harvest_area,production,country_code,latitude,longitude,awc,bulk_density,drainage_class,prec_sum,tmin_mean,tmax_mean,tavg_mean,rad_mean,et0_mean,vpd_mean,cwb_mean,ndvi_mean,ndvi_max,fpar_mean,fpar_max
ZM-A2-0101,2001,1.895,32286.331,61178.347,ZM,-14.80884,27.9318,12.637,1.383,5,1051.519,16.04291780821918,26.467490410958906,20.831846575342464,20546202.94520548,4.6755808219178085,19.79692602739726,-1.7947068493150684,0.5401136363636364,0.787,46.41647222222222,65.265
ZM-A2-0101,2002,1.641,27657.64,45389.605,ZM,-14.80884,27.9318,12.637,1.383,5,705.593,16.210509589041095,26.96901369863014,21.26251780821918,20987054.84931507,4.938246575342466,21.21548493150685,-3.0051150684931507,0.4692826086956522,0.748,42.968444444444444,69.483
ZM-A2-0101,2003,2.97,37832.311,112367.903,ZM,-14.80884,27.9318,12.637,1.383,5,924.924,16.04284109589041,26.59424109589041,20.889084931506847,20919295.169863015,4.805372602739726,20.49161369863014,-2.2713342465753428,0.5127111111111111,0.788,47.17886111111111,68.852
ZM-A2-0101,2004,2.266,35453.936,80335.031,ZM,-14.80884,27.9318,12.637,1.383,5,897.398,15.817928961748635,26.318554644808746,20.61112568306011,20386399.29781421,4.66163387978142,19.595303278688526,-2.209726775956284,0.5044782608695652,0.826,45.20288888888889,65.597
ZM-A2-0101,2005,1.004,42266.299,42453.352,ZM,-14.80884,27.9318,12.637,1.383,5,669.809,16.44886301369863,27.49655890410959,21.659846575342467,21552705.038356163,5.203871232876712,23.06988219178082,-3.3687780821917808,0.4606086956521739,0.764,40.91433333333333,63.943
ZM-A2-0101,2006,2.011,44392.595,89261.977,ZM,-14.80884,27.9318,12.637,1.383,5,819.875,16.02364383561644,26.53270410958904,20.864383561643837,20531034.32328767,4.731038356164383,20.04532328767123,-2.4848054794520547,0.5108888888888888,0.782,46.40863888888889,69.021
ZM-A2-0101,2007,3.12,40397.494,126043.549,ZM,-14.80884,27.9318,12.637,1.383,5,1167.821,15.98234520547945,26.533597260273975,20.823745205479455,20424106.315068495,4.718712328767123,20.10017808219178,-1.5192027397260275,0.5062,0.828,44.565444444444445,66.758
ZM-A2-0101,2008,1.223,55104.032,67380.084,ZM,-14.80884,27.9318,12.637,1.383,5,970.523,15.504434426229507,26.487644808743166,20.52622131147541,20927060.79781421,4.857158469945356,21.064382513661204,-2.2054562841530054,0.5112391304347826,0.78,45.12766666666667,65.859
ZM-A2-0101,2009,1.562,57467.152,89790.445,ZM,-14.80884,27.9318,12.637,1.383,5,1005.487,15.56592602739726,26.00550684931507,20.303372602739724,20368862.60410959,4.5714273972602735,18.72404383561644,-1.8166684931506851,0.5166739130434782,0.771,45.94327777777778,65.533
ZM-A2-0101,2010,2.973,70341.67,209099.841,ZM,-14.80884,27.9318,12.637,1.383,5,1146.529,16.205824657534247,26.65770684931507,20.96381917808219,20234273.120547947,4.66638904109589,19.719128767123287,-1.525213698630137,0.5062444444444444,0.769,45.657833333333336,66.928
ZM-A2-0101,2011,2.15,68363.042,146973.027,ZM,-14.80884,27.9318,12.637,1.383,5,848.183,15.745712328767125,26.76149589041096,20.794479452054794,21128616.646575343,4.754386301369863,20.61633698630137,-2.4305972602739727,0.49995652173913047,0.744,44.68477777777778,66.228
ZM-A2-0101,2012,2.322,57507.757,133561.736,ZM,-14.80884,27.9318,12.637,1.383,5,963.562,15.895204918032785,26.90310382513661,20.993617486338795,20812607.756830603,4.801120218579235,21.195450819672132,-2.1684371584699456,0.49597826086956526,0.728,44.71702777777778,67.652
ZM-A2-0101,2013,1.902,75405.179,143426.397,ZM,-14.80884,27.9318,12.637,1.383,5,865.667,16.246413698630136,27.11328767123288,21.248290410958905,21043553.038356163,4.916553424657534,21.780087671232877,-2.54486301369863,0.4823333333333333,0.749,43.56772222222222,68.641
ZM-A2-0101,2014,2.571,81501.86,209534.867,ZM,-14.80884,27.9318,12.637,1.383,5,865.548,16.458835616438357,27.094476712328767,21.449309589041096,20891448.0,4.9952575342465755,22.087095890410957,-2.6238931506849315,0.46302173913043476,0.778,41.379,67.594
ZM-A2-0101,2015,1.417,78060.674,110625.07,ZM,-14.80884,27.9318,12.637,1.383,5,845.3100000000001,15.998136986301368,27.146942465753426,21.21837808219178,21313513.74657534,4.917356164383562,21.62830684931507,-2.6014383561643837,0.49541304347826093,0.755,43.70611111111111,67.117
ZM-A2-0101,2016,2.242,68089.994,152649.575,ZM,-14.80884,27.9318,12.637,1.383,5,862.332,16.422021857923497,27.21551092896175,21.491803278688526,21059193.781420764,4.978147540983606,21.932112021857925,-2.6220491803278687,0.4737173913043478,0.788,43.214444444444446,68.337
ZM-A2-0101,2017,1.942,94121.437,182746.768,ZM,-14.80884,27.9318,12.637,1.383,5,1229.852,16.17465205479452,26.29689315068493,20.821695890410957,19720396.10410959,4.536769863013698,19.173002739726027,-1.1673123287671234,0.5177391304347826,0.778,44.60636111111111,66.005
ZM-A2-0105,2001,1.564,2125.669,3323.862,ZM,-14.4187,28.36645,12.1,1.355,5,1044.228,15.87553698630137,25.943476712328767,20.465271232876713,20492364.512328766,4.643854794520548,18.615986301369862,-1.7829561643835616,0.52415,0.783,45.284888888888894,64.152
ZM-A2-0105,2002,1.273,7880.36,10035.395,ZM,-14.4187,28.36645,12.1,1.355,5,749.184,16.010536986301368,26.356180821917807,20.839723287671234,20878140.430136986,4.887441095890411,19.82629315068493,-2.834882191780822,0.47775555555555554,0.751,43.99897222222222,72.071
