key,year,yield_t_ha,region1,region2,band_0_mean,band_1_mean,band_2_mean,band_3_mean,band_4_mean,band_5_mean,band_6_mean,band_7_mean,band_8_mean,band_0_std,band_1_std,band_2_std,band_3_std,band_4_std,band_5_std,band_6_std,band_7_std,band_8_std,band_0_min,band_1_min,band_2_min,band_3_min,band_4_min,band_5_min,band_6_min,band_7_min,band_8_min,band_0_max,band_1_max,band_2_max,band_3_max,band_4_max,band_5_max,band_6_max,band_7_max,band_8_max
fillmore_ne_2009,2009,3.698808822156699,fillmore,ne_2009,0.03027343750000001,0.03124999999999998,0.03027343749999999,0.030273437499999986,0.031249999999999986,0.031249999999999986,0.031249999999999962,0.031249999999999972,0.031249999999999983,0.05548304631909026,0.05567239944328867,0.062005270991818025,0.05731446801428012,0.0511157896760576,0.06512856039168273,0.07822463710406008,0.11399648850500174,0.12378769356962827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5626474605736992,0.5,0.5792872221532348,0.501800571215696,0.25747213779128675,0.4662858562026574,0.7886501924748541,0.8085185645101205,0.9245001862659878
wayne_ia_2007,2007,3.443254758080418,wayne,ia_2007,0.029296874999999997,0.031250000000000014,0.029296875,0.029296875000000062,0.03125,0.031250000000000035,0.03125000000000003,0.03125000000000001,0.028320312499999997,0.07197807553210746,0.05065734425596837,0.07300452989393955,0.07322628965730792,0.05172016555777217,0.06876143517000523,0.0764665287647542,0.11826915957153986,0.11139096923534202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32142857142857145,1.0,1.0,0.22264605500903434,0.6704796307445314,0.699578567128236,0.9143086494079872,1.0
taylor_ia_2007,2007,3.0195730202697413,taylor,ia_2007,0.027343749999999993,0.03124999999999997,0.027343750000000007,0.027343749999999976,0.03124999999999997,0.03124999999999999,0.03124999999999993,0.030273437499999983,0.0283203125,0.054662544690236826,0.05149829921196283,0.06005240794679018,0.058805152643359365,0.05133228842664911,0.06490821578653365,0.07469742244802567,0.12339917014729973,0.11497819585437095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42311418685121105,0.2761918355695118,0.5273356401384083,0.43972318339100347,0.2507962886026866,0.44539792387543253,0.5792387543252595,0.9394121175764847,1.0
scott_il_2012,2012,2.9254215229784797,scott,il_2012,0.03125000000000002,0.031249999999999983,0.03125000000000004,0.031250000000000014,0.03125,0.03125000000000002,0.031250000000000014,0.031250000000000014,0.03125,0.054020610261834294,0.0514483411138892,0.05950503401953398,0.054415088887176145,0.05023417442708355,0.054561879427022335,0.06148642473269014,0.11964353781965689,0.11335303901705919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32224247948951684,0.23742501153668666,0.3454876937101185,0.28203374373005013,0.2185368148670901,0.2923883318140383,0.4252506836827712,0.9792616226071102,0.9159070191431176
bureau_il_2012,2012,3.698808822156699,bureau,il_2012,0.031249999999999934,0.031250000000000014,0.031249999999999924,0.031249999999999962,0.03125000000000005,0.031249999999999983,0.031250000000000014,0.031249999999999993,0.03125000000000001,0.057018062111347245,0.04675751524772657,0.0627934832908417,0.0567634500192673,0.04767000261044605,0.058425462872136714,0.06867375231547264,0.11599256245396805,0.11564216224566767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356769198577108,0.23458772603504852,0.45832461463346585,0.5182395201227593,0.2060515661623695,0.44137546209109296,0.6737811257585269,0.8252772546557857,0.934350705441981
dubois_in_2014,2014,3.685358608257947,dubois,in_2014,0.030273437499999938,0.03125000000000003,0.02929687499999995,0.029296874999999924,0.031249999999999993,0.031249999999999986,0.031249999999999965,0.031249999999999983,0.030273437499999993,0.058872582302056525,0.0457680021052945,0.05431044472489772,0.05033041195913812,0.04708932955252792,0.05808814859327204,0.06916672073406653,0.11709218492467428,0.12466997199420699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2647058823529412,0.34525240384615385,0.29507211538461536,0.20222355769230768,0.4376278118609407,0.46304086538461536,0.9630408653846154,0.9774639423076923
yellow medicine_mn_2005,2005,2.8917959882316007,yellow medicine,mn_2005,0.03125000000000001,0.031249999999999997,0.030273437500000062,0.030273437499999976,0.031249999999999976,0.031249999999999972,0.03124999999999998,0.03125000000000001,0.031250000000000014,0.05681140953908773,0.04462267201766984,0.05258376884083617,0.0505238088480853,0.04409428847384712,0.05509010724184652,0.06417119720237142,0.10840982763158727,0.10619221650697368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20142191034578275,0.3637452217565514,0.44028922765163725,0.20653275592002213,0.3701929719522867,0.420209091327776,0.8515555555555555,0.8723524109959441
phillips_ar_2015,2015,3.167525373156009,phillips,ar_2015,0.03124999999999992,0.03125,0.031249999999999944,0.031249999999999938,0.031249999999999986,0.031249999999999993,0.03124999999999991,0.03125,0.03125000000000001,0.043390294083060034,0.038314569660302465,0.04749256365516664,0.04303293523235931,0.038941328707004105,0.043765436500568806,0.05234848350234693,0.10299444644096305,0.11792778638478904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25298930144745124,0.19216921692169217,0.2916479367077227,0.2203542209835476,0.17464028776978419,0.26863256315742157,0.31852917378405105,0.7441337768587611,0.9297851299109953
greene_mo_2013,2013,2.696767886699702,greene,mo_2013,0.031249999999999986,0.03125,0.03124999999999998,0.031249999999999983,0.031250000000000014,0.03124999999999999,0.03124999999999998,0.031250000000000014,0.031249999999999997,0.06460436245702217,0.05455969147861595,0.07012435006277423,0.07237885807165552,0.05430526589947491,0.0693576816226677,0.07829566084185205,0.11616106868072178,0.12391098509382661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34700665188470065,0.29379157427937913,0.40022172949002216,0.44789356984478934,0.2803114571746385,0.39135254988913526,0.4811529933481153,0.885809312638581,0.9223946784922394
henry_il_2011,2011,4.075414811321744,henry,il_2011,0.026367187500000118,0.031249999999999997,0.02539062500000006,0.026367187500000094,0.03125000000000004,0.031250000000000194,0.03125000000000021,0.031250000000000014,0.03125000000000003,0.05087013491636319,0.04539599341373185,0.05444728177081028,0.052146613263324565,0.04448714853980646,0.060138642258803526,0.07369115983865612,0.118319811689119,0.11730767237887092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47954508263786616,0.3157894736842105,0.47479954180985107,0.5,0.23759835785152242,0.6096383570610375,0.5979768314570076,0.8590849142741199,1.0
