crop_name_x,country_code,adm_id,harvest_year,yield,harvest_area,production,latitude,longitude,prec_sum,tmin_mean,tmax_mean,tavg_mean,rad_mean,et0_mean,vpd_mean,cwb_mean,ndvi_mean,ndvi_max,fpar_mean,fpar_max,crop_name_y,awc,bulk_density,drainage_class
winter_wheat,HR,HR03,2008,3.808,3016.0,11485.0,44.61342,15.00517,1371.319,8.754918032786886,16.76536338797814,12.716437158469946,14254436.904030055,2.5534371584699453,9.96498087431694,1.1933360655737704,0.5578260869565217,0.738,48.98441666666666,70.44,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2009,3.33,2763.0,9200.0,44.61342,15.00517,1323.262,8.698257534246576,16.805942465753425,12.708449315068492,14402343.547260273,2.6182191780821915,10.284583561643835,1.0071561643835618,0.5618260869565218,0.71,48.59813888888888,66.653,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2010,3.515,1927.0,6773.0,44.61342,15.00517,1692.006,8.026775342465754,15.798353424657535,11.89155616438356,13824160.87910959,2.4672739726027397,9.299172602739725,2.168358904109589,0.585413043478261,0.739,50.69872222222222,69.127,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2011,3.683,1959.0,7215.0,44.61342,15.00517,834.395,8.538852054794521,17.20164383561644,12.771597260273973,15187388.133904109,2.708627397260274,11.078071232876713,-0.422613698630137,0.554391304347826,0.698,48.520999999999994,66.196,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2012,3.508,2164.0,7591.0,44.61342,15.00517,1164.901,8.510390710382513,17.041303278688524,12.722275956284154,14918505.50307377,2.715073770491803,11.226398907103825,0.4677158469945355,0.5523695652173913,0.709,48.66769444444444,65.971,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2013,3.44,2502.0,8606.0,44.61342,15.00517,1510.522,8.59030410958904,16.64726575342466,12.591742465753425,14141311.40239726,2.5365068493150686,10.036901369863013,1.601909589041096,0.596108695652174,0.736,53.88122222222222,69.017,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2014,2.692,2613.0,7033.0,44.61342,15.00517,1754.478,9.467819178082191,17.077347945205478,13.260232876712328,13629200.328424657,2.413460273972603,9.008701369863013,2.3933287671232875,0.6267826086956522,0.743,57.01697222222222,67.377,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2015,3.774,2204.0,8318.0,44.61342,15.00517,1056.52,8.924734246575342,17.380805479452054,13.044649315068492,14726721.535273973,2.6632849315068494,10.915610958904109,0.23129041095890412,0.5928913043478261,0.736,52.22519444444444,67.859,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2016,3.683,2823.0,10396.0,44.61342,15.00517,1326.796,8.746371584699453,16.96443989071038,12.786000000000001,14192687.791325137,2.5701994535519126,10.000743169398907,1.0549262295081967,0.6016888888888889,0.746,53.590333333333334,70.717,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2017,3.958,1560.0,6174.0,44.61342,15.00517,1291.051,8.369693150684931,17.122095890410957,12.675073972602739,14967572.193835616,2.7194630136986304,11.15631506849315,0.8176630136986301,0.5809130434782609,0.728,51.3545,68.077,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2018,3.684,1273.0,4690.0,44.61342,15.00517,1280.587,9.380808219178082,17.58615890410959,13.380400000000002,14210094.809931507,2.6321589041095894,10.685186301369862,0.8762986301369864,0.6079565217391305,0.754,54.436861111111114,70.736,wheat,13.656,1.455,4
winter_wheat,HR,HR03,2020,3.431,2088.0,7163.0,44.61342,15.00517,1171.968,8.851256830601093,17.535551912568305,13.120729508196721,14869811.601092895,2.665532786885246,10.7204043715847,0.5365655737704917,0.5992173913043478,0.705,53.89891666666667,64.936,wheat,13.656,1.455,4
winter_wheat,HR,HR04,2008,5.523,151729.0,837994.0,45.59459,17.99166,698.028,7.844147540983607,17.36231693989071,12.516,13580822.969262294,2.489642076502732,11.440994535519128,-0.5824617486338798,0.541340909090909,0.72,45.50672222222222,70.016,wheat,15.037,1.488,2
winter_wheat,HR,HR04,2009,5.223,176468.0,921637.0,45.59459,17.99166,752.84,7.865345205479453,17.088821917808218,12.401320547945206,13441741.926712329,2.51493698630137,11.515043835616439,-0.45236164383561644,0.5238636363636364,0.718,43.559888888888885,65.547,wheat,15.037,1.488,2
winter_wheat,HR,HR04,2010,4.053,164801.0,667920.0,45.59459,17.99166,1113.948,7.227613698630138,15.721271232876713,11.363383561643836,12528029.285786303,2.2435342465753423,9.267920547945206,0.8083780821917808,0.5466046511627908,0.728,43.37927777777778,69.917,wheat,15.037,1.488,2
