country_code,adm_id,historical_mean_excl_2017,historical_std_excl_2017,yield_2017,difference,z_score,direction
AT,AT11,4.520368421052631,0.5613993637456629,4.31,-0.21036842105263176,-0.3747215166918809,lower than history
AT,AT12,5.253157894736842,0.7306381733463406,4.44,-0.8131578947368414,-1.1129419792187403,lower than history
AT,AT13,4.753578947368421,0.9006729160768552,3.86,-0.8935789473684213,-0.9921237015327009,lower than history
AT,AT21,5.553000000000001,0.6902006954502437,7.08,1.5269999999999992,2.212399973030859,higher than history
AT,AT22,6.131411764705882,0.8000703140055512,6.95,0.8185882352941185,1.0231453673063526,higher than history
AT,AT31,6.704,0.6841910064691974,7.27,0.5659999999999998,0.8272543699761149,higher than history
AT,AT32,5.735,0.9433459068655569,4.17,-1.5650000000000004,-1.6589884883266262,lower than history
AT,AT33,5.168,0.8206163334145056,5.12,-0.04800000000000004,-0.05849262078452261,lower than history
AT,AT34,5.232999999999999,0.6757032550527552,4.094,-1.1389999999999985,-1.6856511959692597,lower than history
BG,BG32,4.553999999999999,0.5505727926441698,6.224,1.6700000000000008,3.0332047320749225,higher than history
HR,HR03,3.5043636363636357,0.3099965395701289,3.958,0.4536363636363645,1.4633594435132096,higher than history
HR,HR04,5.217083333333334,0.5764985939166537,5.905,0.6879166666666663,1.1932668594957938,higher than history
HU,HU233,5.238666666666666,0.8687092521125134,6.538,1.2993333333333341,1.495705646248887,higher than history
HU,HU312,4.0001875,1.1052458681970572,5.157,1.1568125,1.0466562538587558,higher than history
HU,HU322,3.7851875,1.0368900435918942,5.262,1.4768124999999994,1.4242710778513876,higher than history
HU,HU333,4.160444444444444,0.7532058715698653,5.416,1.2555555555555564,1.666948709439388,higher than history
RO,RO111,3.396125,0.6946608644991213,4.11,0.7138750000000003,1.0276597351064725,higher than history
RO,RO113,3.684888888888889,0.5613611681538999,4.486,0.8011111111111107,1.4270867964480973,higher than history
RO,RO114,3.217,0.711382557318594,4.011,0.794,1.116136447023406,higher than history
RO,RO115,3.6563999999999997,0.5484915418022154,4.738,1.0816000000000008,1.9719538362362257,higher than history
RO,RO121,3.4488571428571424,0.8961514806049681,4.487,1.0381428571428577,1.1584457311190681,higher than history
RO,RO123,3.6436666666666664,0.37716981144660383,4.535,0.8913333333333338,2.3632149400152094,higher than history
RO,RO124,2.8111,0.49783519138142274,3.477,0.6658999999999997,1.3375912581676292,higher than history
RO,RO125,3.61975,0.8121936765216891,4.315,0.6952500000000006,0.8560150369275061,higher than history
RO,RO126,3.1328125,0.4456958931453898,3.846,0.7131875000000001,1.6001661917206678,higher than history
RO,RO211,3.3895,0.565183156153826,4.298,0.9085000000000001,1.6074435165097765,higher than history
RO,RO212,3.1014444444444447,0.713754704207109,4.364,1.2625555555555552,1.7688927976427062,higher than history
RO,RO213,3.089538461538462,0.6095578473211295,4.4,1.3104615384615386,2.1498559065734684,higher than history
RO,RO214,3.657454545454546,0.6772844843396847,4.886,1.2285454545454542,1.8139282427873993,higher than history
RO,RO221,3.765545454545455,1.0928711144170993,5.247,1.481454545454545,1.3555619925453908,higher than history
RO,RO222,3.330666666666667,1.1223273978117028,5.186,1.8553333333333328,1.65311239567958,higher than history
RO,RO223,3.2389374999999996,1.2017108619935717,5.413,2.1740625000000007,1.809139426761402,higher than history
RO,RO224,2.8625714285714285,0.91456166165384,4.194,1.3314285714285714,1.4558106109771687,higher than history
RO,RO225,2.883428571428571,1.067141236005065,4.706,1.8225714285714294,1.70790085424342,higher than history
RO,RO311,2.9445714285714284,0.9468125222983441,4.22,1.2754285714285714,1.347076154350522,higher than history
RO,RO312,3.5545294117647055,1.5087514754610458,5.55,1.9954705882352943,1.3225972737660563,higher than history
RO,RO315,3.3236153846153846,1.4512459898573098,5.993,2.6693846153846157,1.8393743266412583,higher than history
RO,RO316,3.105625,1.302835252988102,4.59,1.484375,1.139342059247729,higher than history
RO,RO317,3.4009285714285715,0.8497461579595597,5.109,1.7080714285714285,2.0100960887812773,higher than history
RO,RO411,3.0834666666666664,0.8073157345413844,4.51,1.4265333333333334,1.7670079651596422,higher than history
RO,RO413,3.704333333333333,0.9249877116300879,4.901,1.1966666666666668,1.293710880285971,higher than history
RO,RO414,3.4124000000000003,1.04365322039672,5.073,1.6606,1.5911415473511044,higher than history
RO,RO415,3.4365,0.5965903582489038,4.03,0.5935000000000001,0.9948199661523622,higher than history
RO,RO421,4.057181818181818,0.8688394348994315,5.315,1.2578181818181822,1.4476992310596204,higher than history
RO,RO422,3.3950000000000005,0.8248975693987707,4.688,1.2929999999999993,1.5674673413602207,higher than history
RO,RO424,3.965526315789474,0.7911623213433828,5.403,1.4374736842105258,1.8169137298774733,higher than history
